;Enestrom Number;Fuss Index;Title;English Title;Authors;Original Language;Published as;Published Date;Written Date;Original Source Citation;Archive Notes;Content Summary;Opera Omnia Citation;Record Created;URLinfo;URLpdf
77;78;;Dissertation sur la meilleure construction du cabestan;Essay on a better construction of a capstan;Leonhard Euler;French;Paris prize article;1745;1738;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1741, pp. 29-87.;While published anonymously, Rozier’s general register of the writings of the Paris Academy indicates that this treatise was written by Euler (Part 4, Paris 1776, Art. Euler).;;Series 2, Volume 20, pp.36-82.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/78;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1077&context=euler-works
78;79;;Problema geometricum propositum publice ab Anonymo Geometra;A problem of geometry proposed publicly by an anonymous geometer;Leonhard Euler;Latin;Journal article;1745;1745;Nova acta eruditorum, Volume 1745, pp. 523.;;E106;Series 1, Volume 27, pp.50-50.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/79;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1078&context=euler-works
79;80;;Opuscula varii argumenti;Various short works on reason;Leonhard Euler;Latin;Journal article;1748;;Nova acta eruditorum, Volume 1748, pp. 595-608.;;E80;;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/80;
80;81;742;Gedancken von den Elementen der Corper;Thoughts on the elements of bodies;Leonhard Euler;German;Octavo book;1746;1746;Berlin: Ambrosius Haude and Johann Carl Spener, Volume 1746.;;;Series 3, Volume 2, pp.347-366.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/81;
81;82;548;De la force de percussion et de sa véritable mesure;Percussion and its true measurement;Leonhard Euler;French;Journal article;1746;1744;Mémoires de l'académie des sciences de Berlin, Volume 1, pp. 21-53.;;;Series 2, Volume 8, pp.27-53.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/82;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1081&context=euler-works
82;83;345;Sur quelques proprietés des sections coniques, qui conviennent à une infinité d'autres lignes courbes;On several properties of the conic sections which intersect with an infinity of other curved lines;Leonhard Euler;French;Journal article;1746;1742;Mémoires de l'académie des sciences de Berlin, Volume 1, pp. 71-98.;;Euler presents analytical solutions for geometric problems. The first is to find a curve AMF (relative to an axis AD) such that, at a given distance DE from the axis, the diameter FEG is parallel to the axis AD, and intersects all the ordinates Mm drawn from the axis at a given angle T.;Series 1, Volume 27, pp.51-73.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/83;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1082&context=euler-works
83;84;;Leonhardi Euleri animadversio ad libri praecedentis sec. 83 et seq. de curvis elasticis;Observation by Leonhard Euler on sections 83 and following of the preceding book, concerning elastic curves;Leonhard Euler;Latin;Journal article;1746;1746;Nova acta eruditorum, Volume 1746, pp. 92-95.;;;Series 1, Volume 25, pp.81-83.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/84;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1083&context=euler-works
84;85;;Solutio problematis catoptrici in his actis A. 1745 Mense Septembri P. I pag. 523 propositi;Solution to a catoptric problem proposed in this journal in September 1745 on page 523;Leonhard Euler;Latin;Journal article;1746;1746;Nova acta eruditorum, Volume 1746, pp. 230-233.;;E79;Series 1, Volume 27, pp.74-77.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/85;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1084&context=euler-works
85;86;;De motu corporum in superficiebus mobilibus;On the movement of bodies on movable surfaces;Leonhard Euler;Latin;Collection article;1746;1746;Opuscula varii argumenti, Volume 1, pp. 1-136.;;E826;Series 2, Volume 6, pp.75-174.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/86;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1085&context=euler-works
86;87;681;Tabulae astronomicae solis et lunae;Astronomical table of the sun and the moon;Leonhard Euler;Latin;Collection article;1746;1745;Opuscula varii argumenti, Volume 1, pp. 137-168.;;;Series 2, Volume 23, pp.1-10.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/87;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1086&context=euler-works
87;88;685;Nova theoria lucis et colorum;A new theory of light and colors;Leonhard Euler;Latin;Collection article;1746;1744;Opuscula varii argumenti, Volume 1, pp. 169-244.;;"The Nova Theoria was a highly influential tract in the study of physical optics. Casper Hakfoort's Optics in the Age of Euler (Cambridge University Press, 1995) provides a detailed study of this work, along with several of Euler's papers on optics. He demonstrates the importance of the Nova Theoria, going so far as to show that the wave-particle duality debate in optics really began with Euler's publication of this work. As noted by Hakfoort, ""When Leonhard Euler published [E88] in 1746, he made a contribution to the medium [i.e., wave] tradition in physics optics that was without parallel in the eighteenth century. The Nova Theoria constitutes the most lucid, comprehensive, and systematic medium theory of that century.""";Series 3, Volume 5, pp.1-45.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/88;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1087&context=euler-works
88;89;621;De relaxione motus planetarum;On the running down of the motion of the planets;Leonhard Euler;Latin;Collection article;1746;1746;Opuscula varii argumenti, Volume 1, pp. 285-276.;;"Euler reiterates that if the aether, a subtle matter that fills all of space, has a resistance, then the period times of the planets and comets and the corresponding eccentricities must become smaller; hence, the resistance of the aether should be very small. He points out that as the speed of a planet or comet is decreased by the resistance of the aether, the planet or comet is drawn nearer to the sun by the sun's force while its speed increases. But these two effects of the sun's force should force the planet or comet's distance from the sun, as well as its periodic time, to decrease. Euler also points out that his findings about how the resistance of the aether should affect the planets and comets are consistent with observations. (Based on Eric Aiton's introduction to Opera Omnia Series II, Volume 31.)";Series 2, Volume 13, pp.195-220.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/89;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1088&context=euler-works
89;90;745;Enodatio quaestionis utrum materiae facultas cogitandi tribui possit necne;Analysis of the question whether the faculty of thinking can be attributed to matter or not;Leonhard Euler;Latin;Collection article;1746;1746;Opuscula varii argumenti, Volume 1, pp. 277-286.;;In this work, Euler purports to offer incontrovertible proof, based on principles from the field of mechanics, that material bodies cannot possess the capacity for thought. He reduces the question to a clear and logical syllogism, which leads to an attempted proof of the non-corporeality of the mind. This work is an early salvo in the philosophical dispute over the nature of the mind and its theological consequences.;Series 3, Volume 2, pp.367-372.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/90;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1089&context=euler-works
90;91;743;Recherches physiques sur la nature des moindres parties de la matière;Physical investigations on the nature of the smallest parts of matter;Leonhard Euler;French;Collection article;1746;1744;Opuscula varii argumenti, Volume 1, pp. 287-300.;;;Series 3, Volume 1, pp.3-15.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/91;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1090&context=euler-works
91;92;747;Rettung der Göttlichen Offenbahrung gegen die Einwürfe der Freygeister;Defense of divine revelation against the objections of the freethinkers;Leonhard Euler;German;Octavo book;1747;1747;Berlin: Ambrosius Haude and Johann Carl Spener, pp. 1-46.;The Euler Archive has the PDF of a 1805 French translation.;;Series 3, Volume 12, pp.1-265.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/92;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1091&context=euler-works
92;93;559;Disquitio de bilancibus;An inquiry into balances;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 3-18.;;;Series 2, Volume 17, pp.1-15.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/93;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1092&context=euler-works
93;94;599;De motu cymbarum remis propulsarum in fluviis;On the movement of a boat with oars propelled through running waters;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 22-39.;;Euler considers the following problem: A boat with a perfect rudder moves at constant speed across a stream flowing in straight fillets at assigned speeds. Assuming that the downstream velocity of the boat equals that of the river, how should the rudder be set so that the boat traverses a given path? He works out various instances, one of which gives rise to a variational problem, in detail. (Based on Clifford Truesdell's An idiot's fugitive essays on science: methods, criticisms, training, circumstances.);Series 2, Volume 20, pp.83-100.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/94;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1093&context=euler-works
94;95;252;De aequationibus differentialibus, quae certis tantum casibus integrationem admittunt;On differential equations which admit integration only in certain cases;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 40-55.;;Euler starts with a second-order linear differential equation with simple, rational coefficients and figures out which cases of this quantity, divided by infinite sequences, produce a quotient that can be integrated. Then he derives a first-order differential equation out of the given equation and gets a new integrable equation in this way. The Riccati differential equation appears as a special case.;Series 1, Volume 22, pp.162-180.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/95;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1094&context=euler-works
95;96;557;De machinarum tam simplicium quam compositarum usu maxime lucroso;On the most profitable application of simple as well as composite machines;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 67-94.;;;Series 2, Volume 17, pp.16-39.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/96;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1095&context=euler-works
96;97;536;De attractione corporum sphaeroidico-ellipticorum;On the attraction of spherico-elliptical bodies;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 102-115.;;;Series 2, Volume 6, pp.175-188.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/97;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1096&context=euler-works
97;98;58;Theorematum quorundam arithmeticorum demonstrationes;The proofs of some arithmetic theorems;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 125-146.;According to Eneström, additions to this work were presented to the St. Petersburg Academy on 16 August 1738.;Euler proves that the sum of two 4th powers can't be a 4th power, that the difference of two distinct non-zero 4th powers can't be a 4th power, and other such forms.;Series 1, Volume 2, pp.38-58.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/98;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1097&context=euler-works
98;99;384;Solutio problematis cuiusdam a Celeberrimo Daniele Bernoullio propositi;The solution to a certain problem proposed by the celebrated Daniel Bernoulli;Leonhard Euler;Latin;Journal article;1747;1738;Commentarii academiae scientiarum Petropolitanae, Volume 10, pp. 164-180.;;"The problem that Euler solves here was put forward by Daniel Bernoulli in a letter dated May 24, 1738 (see Fuss, Corr. II, p. 448), and had been solved by Euler by July 30, 1738 (see his letter to Johann Bernoulli on this date; Bibl. math. 53, 1904, p. 284).";Series 1, Volume 25, pp.84-97.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/99;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1098&context=euler-works
99;100;;De numeris amicabilibus;On amicable numbers;Leonhard Euler;Latin;Journal article;1747;1747;Nova acta eruditorum, Volume 1747, pp. 267-269.;;Euler describes the work that European mathematicians have done on amicable numbers and shows how to find pairs of amicable numbers. He gives the first 30 pairs of which some, but not all, were found with his method. (Based on Jordan Bell's translation abstract.);Series 1, Volume 2, pp.59-61.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/100;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1099&context=euler-works
100;101;87a;Introductio in analysin infinitorum, volume 1;Introduction to the Analysis of the Infinite, volume 1;Leonhard Euler;Latin;Quarto book;1748;1745;Lausanne: Marcum-Michaelem Bousquet, Volume 1, pp. 1-320.;The Euler Archive has a PDF file of an 1885 German translation.;E102;Series 1, Volume 8, pp.1-392.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/101;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1100&context=euler-works
101;102;87b;Introductio in analysin infinitorum, volume 2;Introduction to the Analysis of the Infinite, volume 2;Leonhard Euler;Latin;Quarto book;1748;1745;Lausanne: Marcum-Michaelem Bousquet, Volume 2, pp. 1-398.;;E101;Series 1, Volume 9, pp.1-402.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/102;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1101&context=euler-works
102;103;664;Recherches physiques sur la cause de la queüe des cometes, de la lumière boréale, et de la lumière zodiacale;Physical investigations on the cause of the tails of comets, the northern lights, and the zodiacal light;Leonhard Euler;French;Journal article;1748;1748;Mémoires de l'académie des sciences de Berlin, Volume 1748, pp. 117-140.;;"Euler rejects the view of de Mairan that the zodiacal light is the cause of the tails of comets and the northern lights; instead, Euler argues that zodiacal light is the result of particles emanating from the Sun, the tails of comets are the result of particles emanating from the bodies of the comets, and that the northern lights are the result of particles emanating from the Earth. He also says that the tails of comets are different because of the motions of the comets and that planets lack tails because of the small extent of their atmospheres. Euler also infers the existence of a solar atmosphere from the existence of sunspots. In addition, he says that the zodiacal light is the view of the solar atmosphere extended about the equator of the Earth. He calculates the form of the solar atmosphere and arrives at a cubic equation. Euler asserts that this equation implies that the atmosphere must have the form of a ring. (Based on Eric Aiton's introduction to Opera Omnia Series II, Volume 31.)";Series 2, Volume 31, pp.221-238.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/103;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1102&context=euler-works
103;104;676;Mémoire sur l'effet de la propagation successive de la lumière dans l'apparition tant des planètes que des comètes;Memoir on the effect of the successive propagation of light in the appearance of the planets as well as the comets;Leonhard Euler;French;Journal article;1748;1748;Mémoires de l'académie des sciences de Berlin, Volume 2, pp. 141-181.;;;Series 3, Volume 5, pp.46-77.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/104;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1103&context=euler-works
104;105;624;Mémoire sur la plus grande équation des planètes;Memoir on the Grand Equation of the Planets;Leonhard Euler;French;Journal article;1748;1748;Mémoires de l'académie des sciences de Berlin, Volume 2, pp. 225-248.;;;Series 2, Volume 28, pp.252-268.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/105;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1104&context=euler-works
105;106;;Solutio problematis catoptrici in Novis Actis Eruditorum Lipsiensibus pro mense Novembri A. 1745 propositi;Solution to the catoptric problem in the Leipzig Nova Acta Eruditorum proposed in November 1745;Leonhard Euler;Latin;Journal article;1748;1748;Nova acta eruditorum, Volume 1748, pp. 27-46, 61-75, 169-184.;;;Series 1, Volume 27, pp.78-129.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/106;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1105&context=euler-works
106;107;;Extract of a letter from Mr. Leonhard Euler, Prof. Mathem. and Member of the Imperial Society at Petersburgh, to the Rev. Mr. Cha. Wetstein, Chaplain and Secretary to His Royal Highness the Prince of Wales, concerning the Discoveries of the Russians on the North-East Coast of Asia.;Extract of a letter from Mr. Leonhard Euler, Prof. Mathem. and Member of the Imperial Society at Petersburgh, to the Rev. Mr. Cha. Wetstein, Chaplain and Secretary to His Royal Highness the Prince of Wales, concerning the Discoveries of the Russians on the North-East Coast of Asia.;Leonhard Euler;English;Published letter;1748;1746;Philosophical Transactions (London), Volume 44, pp. 421-423.;It is likely that Euler wrote his letter in German, and that this publication is an English translation.;;Series 3, Volume 2, pp.373-375.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/107;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1106&context=euler-works
107;108;739;De observatione inclinationis magneticae dissertatio;A dissertation on an observed tendency of magents;Leonhard Euler;Latin;Paris prize article;1748;1742;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1748, pp. 1-47.;;;Series 3, Volume 10;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/108;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1107&context=euler-works
108;109;738;Dissertatio de magnete;Dissertation on magnets;Leonhard Euler;Latin;Paris prize article;1748;1743;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1748, pp. 63-97.;;;Series 3, Volume 10;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/109;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1108&context=euler-works
109;110;594a;Scientia Navalis, volume 1;Naval Science, volume 1;Leonhard Euler;Latin;E111;Quarto book;1749;1738;Eneström notes that this work was essentially completed by 1738, citing Euler's letter to Johann Bernoulli dated 20 December 1738.;https://archive.org/details/bub_gb_5rc_AAAAcAAJ;St. Petersburg: Imperial Academy of Sciences, Volume 1, pp. 1-444.;Series 2, Volume 18, pp.1-426.;https://scholarlycommons.pacific.edu/euler-works/110;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1109&context=euler-works
110;111;594b;Scientia Navalis, volume 2;Naval Science, volume 2;Leonhard Euler;Latin;Quarto book;1749;1738;St. Petersburg: Imperial Academy of Sciences, Volume 2, pp. 1-534.;https://archive.org/details/bub_gb_Erg_AAAAcAAJ;E110;Series 2, Volume 19, pp.1-459.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/111;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1110&context=euler-works
111;112;605;Recherches sur le mouvement des corps célestes en général;Studies on the motion of celestial bodies in general;Leonhard Euler;French;Journal article;1749;1747;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 93-143.;;Euler looks at finite systems and says that for a single point mass, ∫ f dM = fM. He also introduces the Newtonian equations for the first time. (Based on Clifford Truesdell's An idiot's fugitive essays on science: methods, criticisms, training, circumstances.);Series 2, Volume 25, pp.1-44.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/112;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1111&context=euler-works
112;113;650;Méthode pour trouver les vrais momens tant des nouvelles que des pleines lunes;Method for finding the true moments of both the new and the full moon;Leonhard Euler;French;Journal article;1749;1747;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 154-173.;;;Series 2, Volume 30, pp.26-44.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/113;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1112&context=euler-works
113;114;649;Méthode de trouver le vrai lieu géocentrique de la lune par l'observation de l'occultation d'une étoile fixe;Method of finding the true geocenter of the moon by the obsertvation of the occulation of a fixed star;Leonhard Euler;French;Journal article;1749;1749;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 174-177.;;;Series 2, Volume 30, pp.45-48.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/114;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1113&context=euler-works
114;115;638;Méthode de déterminer la longitude des lieux par l'observation d'occultations des étoiles fixes par la lune;Method of determining the longitude of the observation site by observation of the occulations of fixed stars by the moon;Leonhard Euler;French;Journal article;1749;1749;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 178-179.;;;Series 2, Volume 30, pp.49-50.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/115;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1114&context=euler-works
115;116;600;Mémoire sur la force des rames;Memoir on the force of oars;Leonhard Euler;French;Journal article;1749;1747;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 180-213.;;;Series 2, Volume 20, pp.101-129.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/116;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1115&context=euler-works
116;117;;Réflexions sur la dernière éclipse du Soliel du 25 julliet a. 1748;Reflections on the last eclipse of the sun from July 25, 1748;Leonhard Euler;French;Journal article;1749;1748;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 250-273.;;;Series 2, Volume 30, pp.51-72.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/117;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1116&context=euler-works
117;118;714;Sur la perfection des verres objectfs des lunettes;On the perfection of objective lenses of telescopes;Leonhard Euler;French;Journal article;1749;1748;Mémoires de l'académie des sciences de Berlin, Volume 3, pp. 274-296.;;;Series 3, Volume 6, pp.1-21.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/118;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1117&context=euler-works
118;119;;De vibratione chordarum exercitatio;On vibrations of excited chords;Leonhard Euler;Latin;Journal article;1749;1748;Nova acta eruditorum, Volume 1749, pp. 512-527.;Euler-Kreis Mainz;;Series 2, Volume 10, pp.50-62.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/119;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1118&context=euler-works
119;120;655;Recherches sur la question des inégalités du mouvement de Saturne et de Jupiter;Investigations on the question of the differences of the motion of Saturn and Jupiter;Leonhard Euler;French;Paris prize article;1749;1747;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1748, pp. 1-123.;;;Series 2, Volume 25, pp.45-157.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/120;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1119&context=euler-works
120;121;;Conjectura physica circa propagationem soni ac luminis una cum aliis dissertationibus analyticis De numeris amicabilibus De natura aequationum, ac De rectificatione ellipsis.;Physical conjectures on the propogation of sound and light with other dissertations: on amicable numbers, on natural equations, and on the rectification of ellipses;Leonhard Euler;Latin;Journal article;1756;;Nova acta eruditorum, Volume 1756, pp. 439-446.;;E121;Series , Volume , pp.-.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/121;
121;122;122;De productis ex infinitis factoribus ortis;On products created from infinite factors;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 3-31.;Italian translation;;Series 1, Volume 14, pp.260-290.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/122;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1121&context=euler-works
122;123;90;De fractionibus continuis observationes;Observations on continued fractions;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 32-81.;;Euler starts by transforming series into continued fractions, then later into products.;Series 1, Volume 14, pp.291-349.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/123;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1122&context=euler-works
123;124;736;Determinatio caloris et frigoris graduum pro singulis terrae locis ac temporibus.;On the determination of the gradient of heat and cold at each point and time of a region;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 82-99.;;;Series 3, Volume 10, pp.-.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/124;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1123&context=euler-works
124;125;159;Consideratio progressionis cuiusdam ad circuli quadraturam inveniendam idoneae;Consideration of a progression suitable for finding the quadrature of a circle;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 116-127.;;Euler presents an elementary derivation of a semi-convergent series for the arctangent function, which is a special case of the Euler summation formula.;Series 1, Volume 14, pp.350-363.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/125;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1124&context=euler-works
125;126;484;De novo genere oscillationum;On a new type of oscillation;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 128-149.;;This paper contains the first analysis of a single harmonically-driven oscillator. By gradual trials and transformations of cases, Euler discovers the phenomenon of resonance mathematically, providing an example of a purely mathematical rediscovery of a major physical phenomenon. (Based on Clifford Truesdell's An idiot's fugitive essays on science: methods, criticisms, training, circumstances.);Series 2, Volume 10, pp.78-97.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/126;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1125&context=euler-works
126;127;687;Explicatio phaenomenorum quae a motu lucis successive oriuntur;An explanation of the phenomena which proceed in turn from the movement of light;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 150-193.;;;Series 3, Volume 5, pp.78-112.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/127;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1126&context=euler-works
127;128;328;Methodus facilis computandi angulorum sinus ac tangentes tam naturales quam artificiales;An easy method for computing the natural and artificial sines and tangents of angles;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 11, pp. 194-230.;;"Euler considers a kind of ""shifted"" sum of reciprocal squares, 1/(1±p) ± 1/(4±p) ± 1/(9±p) ± 1/(16±p) ± .... He uses this to evaluate some sines, cosines, log sines, log cosines, tangents, and cotangents to 20 decimal places.";Series 1, Volume 14, pp.364-406.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/128;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1127&context=euler-works
128;129;431;Investigatio curvarum quae evolutae sui similes producunt;Investigation of curves which produce evolutes similar to themselves;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 12, pp. 3-52.;;;Series 1, Volume 27, pp.130-180.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/129;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1128&context=euler-works
129;130;123;De seriebus quibusdam considerationes;Considerations on certain series;Leonhard Euler;Latin;Journal article;1750;1739;Commentarii academiae scientiarum Petropolitanae, Volume 12, pp. 53-96.;;Euler factors a power series into an infinite product, applying it to f'/f, and evaluates a number of series using what look like trigonometric substitutions. He also applies this to the differential equation zs' – s – sz + s2 = 0 by recursion. Then he attempts to evaluate ζ(2k+1).;Series 1, Volume 14, pp.407-462.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/130;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1129&context=euler-works
130;131;680;Emendatio tabularum astronomicarum per loca planetarum geocentrica;An emmendation to astronomical tables of locating the geocenters of planets;Leonhard Euler;Latin;Journal article;1750;1740;Commentarii academiae scientiarum Petropolitanae, Volume 12, pp. 109-221.;The Euler Archive only has the second half of this work.;;Series 2, Volume 29, pp.1-91.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/131;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1130&context=euler-works
131;132;;Methodus viri celeberrimi Leonhardi Euleri determinandi gradus meridiani pariter ac paralleli telluris, secundum mensuram a celeb. de Maupertuis cum sociis institutam;Method of the celebrated Leonhard Euler for determining a degree of the meridian, as well as of a parallel of the earth, based on the measurement undertaken by the celebrated de Maupertuis and his colleagues;Leonhard Euler;Latin;Journal article;1750;1741;Commentarii academiae scientiarum Petropolitanae, Volume 12, pp. 224-231.;This work was based on a treatise submitted by C. N. de Winsham.;;Series 2, Volume 30, pp.73-88.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/132;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1131&context=euler-works
